Wall time,Step,Value
1583012168.466546,0,0.30325061082839966
1583012191.262893,1,0.29506683349609375
1583012214.107539,2,0.28829053044319153
1583012237.034421,3,0.28086206316947937
1583012259.942421,4,0.28086206316947937
1583012282.905184,5,0.27963322401046753
1583012305.879031,6,0.27635911107063293
1583012328.9233,7,0.2737833559513092
1583012351.946823,8,0.2689065635204315
1583012374.792383,9,0.2639809846878052
1583012397.724991,10,0.252348393201828
1583012420.689067,11,0.251761257648468
1583012443.747887,12,0.2514762282371521
1583012466.76181,13,0.2512701153755188
1583012489.706687,14,0.2510961592197418
1583012512.614299,15,0.250916987657547
1583012535.527902,16,0.2507767081260681
1583012558.329042,17,0.2506296634674072
1583012581.248012,18,0.25050318241119385
1583012604.254729,19,0.2503480613231659
1583012627.22436,20,0.24987533688545227
1583012650.198376,21,0.24987533688545227
1583012673.1982,22,0.24987533688545227
1583012696.187424,23,0.24987533688545227
1583012719.165903,24,0.24987533688545227
